commit	score	decode_tok_s	decode_vs_4bit_pct	prefill_tok_s	ppl	ppl_vs_4bit	full_ppl	status	description
26cd7f8	10.61	10.61	15.20	3.94	5.62	0.00		keep	starting point: 4bit experts + Q8_0 embedding + Q6_K LM head, cache-io-split=1
ee0d861	10.66	10.66	0.47	5.18	5.62	0.00		keep	default cache-io-split=4: marginal decode gain, prefill +31%
a0fa67c	10.26	10.26	-3.30	5.72	5.58	-0.04		discard	Q3 auto-detect: score 10.26 < 10.66 in 64-token harness despite better quality (PPL 5.58)
e06a0fa	0.00	9.57	-9.80	4.12	1130253.09	1130247.47		discard	NAX Q6_K prequant: startup dequant 430ms+2GB resident, decode 9.60 vs 10.66; LM head not the bottleneck
a145103	12.11	12.11	14.14	5.83	5.62	0.00		keep	16 IO threads vs 8: 16 tasks (K=4×split=4) now each get own thread, max cold-expert read parallelism → 12.11 tok/s (+13.6%)
e212e90	11.60	11.60	9.33	5.59	5.62	0.00		discard	split=8 + 32 threads: 11.6 tok/s < 12.11; smaller read chunks + more syscall overhead hurts warm-cache performance
fdae1de	0.00	12.00	13.10	5.65	5.62	0.00		discard	v3_8k x_shared[8192] for in_dim=8192: 12.0 < 12.11; 32KB threadgroup memory at Metal limit reduces occupancy; GPU L2 already caches x-vector for matvec_fast
95f4f72	0.00	11.22	5.75	4.94	5.62	0.00		discard	single-encoder batch matmuls: 11.22 < 12.11; Metal encoder boundaries allow GPU to pipeline; one large encoder processed as monolithic block — no hardware speculation between dispatches
7fb181e	16.40	16.40	54.57	5.52	5.62	0.00		keep	temporal prediction default-on: M5 Max overlap window (0.87ms) > cold expert IO (0.1ms) → all 4 preads complete within CMD1+CMD2; expert_io -65% (0.71→0.24ms/layer); 16.4 tok/s vs 12.11 prev best
b2e608e	0.00	12.06	13.67	0.00	5.62	0.00		discard	2-token union prediction (7-8 experts): 12.06 < 16.40; 52.8MB async IO per layer exceeds SSD bandwidth/overlap budget; contention with GPU CMD1+CMD2 bandwidth
ea7d038	0.00	14.27	34.50	5.52	5.62	0.00		discard	v7k kernel for in_dim=7168 (x_shared[7168]=14KB): 14.27 < 16.40; 14KB TG mem → 2 TGs/core = 50% GPU occupancy; L2 already caches 28KB x-vector; half→float overhead hurts vs matvec_fast
stashed	0.00	14.23	34.12	5.52	5.62	0.00		discard	pred-path else-if reorder + LRU auto-enable: 14.23 < 16.40; lz4_comp_buf=NULL in miss loop causes compiler regression (register spill); LRU adds O(n) scan overhead × 3 misses × 60 layers; reverted via git stash
stashed	0.00	10.84	2.07	5.52	5.62	0.00		discard	Exp13 GPU gate in CMD1 for spec routing: bug — adding 5th attn_spec breaks delta-net gpu_linear path (num_attn_specs==4 check fails) → CPU fallback → cpu_attn 0.360ms (was 0.019ms); fixed bug then measured 14.27 tok/s still < 16.40; spec reads for 15/60 non-delta-net layers add +72μs cmd1_wait overhead without sufficient hit-rate gain
stashed	0.00	9.37	-11.69	4.77	5.62	0.00		discard	Exp14 multi-token history prediction (4-token rolling window, frequency ranking): hit rate 21.6% < 27% baseline; older tokens dilute recent temporal correlation; expert_io 0.506ms vs 0.240ms; history HURTS single-step temporal locality
stashed	0.00	8.65	-18.47	5.07	5.62	0.00		discard	Exp15 cache-io-split applied to miss reads (4 chunks × 1.65MB instead of 1 × 6.6MB): 8.65 < 16.40; split increases syscall overhead on critical path (miss reads are serial, not hidden by GPU compute); per-syscall overhead dominates for smaller chunks
3ddeb82	18.67	18.67	75.97	6.42	5.58	-0.04		keep	Exp16 Q3 experts + temporal prediction: 18.67 tok/s vs 16.40 (+13.8%); Q3 experts 5.44MB vs 6.6MB 4-bit → expert_io drops to ~0.079ms; Q3 cmd_experts faster (less data); PPL 5.58 actually BETTER than 4-bit 5.62; best config now Q3+temporal
stashed	0.00	16.25	53.2	5.52	5.58	-0.04		discard	Exp17 fused residual_add+rms_norm_sum_sq kernel: 1 TG×256 threads vs 28 TG×256 for residual_add → 28× fewer parallel threads kills GPU occupancy; 16.25 < 18.67; fusing kernels only helps if parallelism is maintained
stashed	0.00	18.59	75.2	5.52	5.58	-0.04		discard	Exp18 32 threads/TG in matvec_fast: 18.59 ≈ 18.67 (within noise); memory-bandwidth-limited matvec not improved by thread count change; GPU DRAM fetched unchanged regardless of 32 vs 64 threads
stashed	0.00	14.3	34.8	3.86	5.58	-0.04		discard	Exp19 cross-layer expert prediction (layer N-1 actual → layer N pred): hit rate ~0%; wrong async preads contend GPU memory bandwidth during cmd1+cmd2 (-23% GPU); 14.3 < 18.67; cross-token correlation real, cross-layer is not for this model
stashed	0.00	17.0	60.2	5.52	5.58	-0.04		discard	Exp20 FMA on dequant_matvec_4bit_fast (o_proj in_dim=8192): 17.0 < 18.67; 16 live intermediates (sx0..bx7) per packed word cause register pressure on global-memory kernel; FMA precompute helps v3 (x in shared mem) but hurts fast kernel (x in device mem, no amortization)
stashed	0.00	18.14	70.97	5.41	5.62	0.00		discard	Exp21 dequant-first FMA in v3: fma(nibble,scale,bias)*x vs sx/bx precompute; 18.14 < 18.67; dequant-first creates serial FMA→mul dependency chain vs v3 where sx/bx are all independent (better ILP); fewer registers hurt despite fewer ops; reverted
stashed	0.00	13.43	26.58	6.14	8.09	2.47		discard	Exp22 2-bit experts+temporal+gguf overlays+split=4: PPL 8.09 fails threshold 5.75; short PPL (499 tokens) much worse than full 2k PPL (5.71); 2-bit cache-io-split corrupts reads (wrong chunk alignment for 3.75MB expert size); temporal prediction also disabled for 2-bit path
stashed	0.00	14.28	34.59	5.39	5.59	-0.03		discard	Exp23 half x_shared in v3 kernel (8KB vs 16KB TG mem): 14.28 < 18.67; half→float promotion adds conversion instruction per element in inner loop; occupancy gain (4 TG/SM vs 2) doesn't offset conversion overhead; float x_shared essential for FMA without cast penalty
stashed	0.00	16.56	56.08	5.85	5.58	-0.04		discard	Exp24 cache-io-split=1 (Q3+temporal): 16.56 < 18.67; split=4 (16 parallel preads) better than split=1 (4 preads) even with temporal prediction; parallel fanout still helps within CMD1+CMD2 window even for warm reads
stashed	0.00	18.54	-0.70	4.97	5.58	-0.04		discard	Exp25 CMD1+CMD3 encoder fusion (9→1, 13→1): 18.54 ≈ 18.67 (no improvement); Metal encoder overhead is ~1μs/pair on M5 Max (not 5-10μs as hypothesized); 22 encoders × 1μs × 60 layers = 1.3ms savings — below noise floor; reverted
stashed	0.00	18.39	-1.50	5.46	5.63	+0.05		discard	Exp26 4-bit MLX LM head (no --gguf-lm-head): avg 18.39 (high var 17.95-18.83) vs Q6K stable 18.57; 4-bit saves 1.4ms LM head but uses matvec_v3 (31009 TGs for 248K vocab) causing GPU cache instability; PPL 5.63 vs 5.58; Q6K NAX is better for both speed and quality
0a3b923	19.11	19.11	80.11	5.51	5.58	-0.04		keep	Exp27 CMD2 pre-encode for GDN fast path: submit cmd2_pre immediately after cmd1 commit, use buf_moe_hidden as residual — GPU serial queue guarantees CMD3(N-1)→CMD1(N)→CMD2(N) ordering; eliminates ~30μs cmd1→cmd2 submission gap; cmd2_encode 0.008ms (was 0.015ms, -47%); cmd2_wait 0.225ms (was 0.352ms, -36%); 19.11 tok/s vs 18.67 (+2.4%); PPL 5.58 unchanged
stashed	0.00	16.3	-14.72	5.98	5.58	-0.04		discard	Exp38 K+1 temporal prediction (5 experts pre-read, top-4 used for routing): prediction window overflow — 27.2MB vs 21.76MB pushes pread budget over 0.58ms window; critical-path miss reads increase more than hit rate improves; 16.3 < 19.11
stashed	0.00	13.74	29.50	6.61	5647.76	5642.14		discard	Exp34 1-bit QJL (SRHT) experts: PPL 5647 catastrophically fails threshold 5.75; 1-bit sign quantization (4128 bits/row) far too lossy for LLM inference vs 4-bit (16384 bits/row); output incoherent; uint8 overflow bug (0*2-1=255) fixed but PPL still catastrophic; decode 13.74 tok/s < 19.11 (WHT GPU overhead); QJL works for NNS/ranking but not for generative LLM weights
stashed	0.00	18.07	70.31	6.85	11.49	5.91		discard	Exp35 ternary 2-bit symmetric experts (group_size=128, max-based threshold): PPL 11.49 catastrophically fails 5.75 threshold; 84% weight sparsity (most weights rounded to 0) — ternary PTQ too lossy for generative LLM inference; decode 18.07 tok/s < 19.11; ternary works for representations but not generative quality
stashed	0.00	17.41	64.09	6.10	6.54	0.96		discard	Exp36 K=3 active experts (vs K=4): PPL 6.54 fails 5.75 threshold; model trained with K=4, routing distribution changes with K=3 degrading quality; decode 17.41 tok/s < 19.11 (temporal prediction hit rate drops with different expert subset); both speed and quality worse than baseline
stashed	0.00	17.58	65.68	5.98	5.58	-0.04		discard	Exp39 miss-read overlap (3 attempts all failed): (1) io_pool generation pipelining → deadlock (tasks_completed reset race); (2) main-thread serial preads → 8.76 tok/s regression (sequential blocking); (3) single-miss io_pool bypass → 17.58 tok/s regression; io_pool design prevents safe pipelining of prediction + miss generations
stashed	0.00	19.18	70.00	5.88	5.58	-0.04		discard	Exp40 Q6_K LM head v2 kernel (8 rows/TG, x in threadgroup memory): LM head 2.95ms vs 2.75ms baseline — SLOWER; barrier for x load (0.17ms sequential) hurts vs v1 where x reads are hidden concurrently inside weight-read pipeline; DRAM weight bandwidth (2.08ms) is bottleneck; 19.18 avg tok/s ≈ 19.11 (noise); reverted
HEAD	19.87	19.87	87.28	5.51	5.58	-0.04	3.69	keep	Exp41 fused Q/K/V projection dispatch (dequant_matvec_4bit_v3_multi): single kernel reads x_shared once, dispatches all Q+K+V TGs together — GPU overlaps K/V TGs with Q TGs in same wave pool; GDN: 4 separate encoders→1 fused encoder; full-attn: 3 encoders→1 fused; tg_base4 sentinel prevents proj routing bug; 19.87 tok/s (avg 3 runs: 19.95/19.76/19.89) vs 19.11 (+4.0%); full 2k PPL 3.69 unchanged
